x,y,z,parentid,vid,edgetype
0.167,0.188,0.104,0.0,1.0,<
0.16,0.187,0.109,0.0,201.0,+
0.159,0.1825,0.131,1.0,2.0,<
0.151,0.197,0.1,1.0,3.0,+
0.16,0.177,0.147,2.0,4.0,<
0.157,0.185,0.171,4.0,5.0,<
0.171,0.152,0.157,4.0,6.0,+
0.156,0.183,0.19,5.0,7.0,<
0.178,0.138,0.168,6.0,8.0,<
0.157,0.184,0.211,7.0,9.0,<
0.185,0.123,0.181,8.0,10.0,<
0.158,0.188,0.229,9.0,11.0,<
0.192,0.115,0.194,10.0,12.0,<
0.152,0.175,0.248,11.0,13.0,<
0.169,0.207,0.242,11.0,14.0,+
0.144,0.179,0.1975,11.0,15.0,+
0.206,0.1,0.204,12.0,16.0,<
0.166,0.115,0.21,12.0,17.0,+
0.149,0.172,0.267,13.0,18.0,<
0.179,0.221,0.254,14.0,19.0,<
0.208,0.082,0.216,16.0,20.0,<
0.225,0.1105,0.209,16.0,21.0,+
0.139,0.167,0.283,18.0,22.0,<
0.188,0.234,0.269,19.0,23.0,<
0.217,0.071,0.226,20.0,24.0,<
0.192,0.071,0.223,20.0,25.0,+
0.24,0.119,0.212,21.0,26.0,<
0.147,0.171,0.306,22.0,27.0,<
0.119,0.151,0.293,22.0,28.0,+
0.198,0.245,0.277,23.0,29.0,<
0.176,0.234,0.287,23.0,30.0,+
0.228,0.059,0.241,24.0,31.0,<
0.217,0.061,0.229,24.0,32.0,+
0.176,0.062,0.23,25.0,33.0,<
0.2415,0.1285,0.214,26.0,34.0,<
0.148,0.173,0.324,27.0,35.0,<
0.108,0.141,0.303,28.0,36.0,<
0.125,0.143,0.295,28.0,37.0,+
0.207,0.263,0.285,29.0,38.0,<
0.216,0.218,0.289,29.0,39.0,+
0.162,0.237,0.299,30.0,40.0,<
0.172,0.229,0.293,30.0,41.0,+
0.231,0.044,0.253,31.0,42.0,<
0.245,0.059,0.247,31.0,43.0,+
0.149,0.171,0.345,35.0,44.0,<
0.092,0.131,0.315,36.0,45.0,<
0.217,0.274,0.296,38.0,46.0,<
0.221,0.21,0.297,39.0,47.0,<
0.153,0.238,0.3045,40.0,48.0,<
0.235,0.031,0.262,42.0,49.0,<
0.151,0.17,0.366,44.0,50.0,<
0.084,0.119,0.321,45.0,51.0,<
0.085,0.14,0.331,45.0,52.0,+
0.227,0.291,0.305,46.0,53.0,<
0.237,0.266,0.2995,46.0,54.0,+
0.19,0.275,0.317,46.0,55.0,+
0.155,0.166,0.382,50.0,56.0,<
0.061,0.108,0.318,51.0,57.0,<
0.107,0.112,0.341,51.0,58.0,+
0.078,0.152,0.346,52.0,59.0,<
0.233,0.308,0.311,53.0,60.0,<
0.224,0.295,0.315,53.0,61.0,+
0.255,0.256,0.304,54.0,62.0,<
0.175,0.28,0.325,55.0,63.0,<
0.149,0.168,0.406,56.0,64.0,<
0.185,0.159,0.391,56.0,65.0,+
0.045,0.099,0.322,57.0,66.0,<
0.076,0.12,0.334,57.0,67.0,+
0.113,0.105,0.352,58.0,68.0,<
0.121,0.1,0.344,58.0,69.0,+
0.07,0.168,0.352,59.0,70.0,<
0.243,0.323,0.322,60.0,71.0,<
0.277,0.249,0.306,62.0,72.0,<
0.163,0.284,0.331,63.0,73.0,<
0.149,0.17,0.425,64.0,74.0,<
0.201,0.153,0.404,65.0,75.0,<
0.056,0.074,0.327,66.0,76.0,+
0.037,0.109,0.346,66.0,77.0,+
0.031,0.088,0.316,66.0,78.0,+
0.038,0.113,0.332,66.0,79.0,+
0.067,0.175,0.363,70.0,80.0,<
0.064,0.1775,0.353,70.0,81.0,+
0.251,0.334,0.328,71.0,82.0,<
0.286,0.2455,0.309,72.0,83.0,<
0.286,0.25,0.309,72.0,84.0,+
0.149,0.172,0.445,74.0,85.0,<
0.217,0.149,0.41,75.0,86.0,<
0.067,0.062,0.332,76.0,87.0,<
0.047,0.076,0.333,76.0,88.0,+
0.029,0.119,0.358,77.0,89.0,<
0.029,0.091,0.351,77.0,90.0,+
0.268,0.336,0.322,82.0,91.0,+
0.256,0.349,0.335,82.0,92.0,+
0.2595,0.34,0.316,82.0,93.0,+
0.231,0.331,0.347,82.0,94.0,+
0.148,0.175,0.466,85.0,95.0,<
0.237,0.146,0.419,86.0,96.0,<
0.075,0.0435,0.336,87.0,97.0,<
0.021,0.125,0.369,89.0,98.0,<
0.143,0.181,0.482,95.0,99.0,<
0.254,0.14,0.413,96.0,100.0,<
0.238,0.162,0.436,96.0,101.0,+
0.231,0.127,0.432,96.0,102.0,+
0.235,0.133,0.422,96.0,103.0,+
0.083,0.024,0.338,97.0,104.0,<
0.147,0.175,0.505,99.0,105.0,<
0.127,0.203,0.493,99.0,106.0,+
0.275,0.132,0.404,100.0,107.0,<
0.239,0.178,0.448,101.0,108.0,<
0.226,0.115,0.445,102.0,109.0,<
0.147,0.174,0.525,105.0,110.0,<
0.118,0.216,0.507,106.0,111.0,<
0.287,0.13,0.4,107.0,112.0,<
0.239,0.192,0.458,108.0,113.0,<
0.248,0.176,0.458,108.0,114.0,+
0.221,0.1,0.449,109.0,115.0,<
0.147,0.171,0.5455000000000001,110.0,116.0,<
0.109,0.224,0.52,111.0,117.0,<
0.279,0.102,0.423,112.0,118.0,+
0.291,0.16,0.403,112.0,119.0,+
0.309,0.123,0.386,112.0,120.0,+
0.144,0.167,0.561,116.0,121.0,<
0.099,0.241,0.532,117.0,122.0,<
0.112,0.209,0.531,117.0,123.0,+
0.107,0.221,0.526,117.0,124.0,+
0.107,0.209,0.532,117.0,125.0,+
0.278,0.078,0.43,118.0,126.0,<
0.285,0.1205,0.435,118.0,127.0,+
0.292,0.174,0.408,119.0,128.0,<
0.293,0.168,0.401,119.0,129.0,+
0.322,0.121,0.377,120.0,130.0,<
0.31,0.116,0.395,120.0,131.0,+
0.148,0.169,0.586,121.0,132.0,<
0.135,0.141,0.572,121.0,133.0,+
0.087,0.256,0.535,122.0,134.0,<
0.112,0.247,0.545,122.0,135.0,+
0.089,0.232,0.546,122.0,136.0,+
0.276,0.066,0.436,126.0,137.0,<
0.149,0.173,0.603,132.0,138.0,<
0.131,0.126,0.586,133.0,139.0,<
0.076,0.271,0.539,134.0,140.0,<
0.0985,0.249,0.546,134.0,141.0,+
0.125,0.251,0.556,135.0,142.0,<
0.0805,0.221,0.56,136.0,143.0,<
0.274,0.05,0.436,137.0,144.0,<
0.17,0.18,0.617,138.0,145.0,<
0.145,0.169,0.623,138.0,146.0,+
0.142,0.181,0.613,138.0,147.0,+
0.126,0.111,0.595,139.0,148.0,<
0.127,0.1275,0.597,139.0,149.0,+
0.14,0.1265,0.595,139.0,150.0,+
0.065,0.286,0.545,140.0,151.0,<
0.138,0.254,0.557,142.0,152.0,<
0.074,0.213,0.565,143.0,153.0,<
0.184,0.184,0.633,145.0,154.0,<
0.145,0.168,0.643,146.0,155.0,<
0.123,0.0925,0.604,148.0,156.0,<
0.055,0.295,0.549,151.0,157.0,<
0.1975,0.188,0.644,154.0,158.0,<
0.143,0.167,0.662,155.0,159.0,<
0.117,0.075,0.607,156.0,160.0,<
0.143,0.095,0.619,156.0,161.0,+
0.113,0.093,0.623,156.0,162.0,+
0.041,0.276,0.568,157.0,163.0,+
0.091,0.308,0.553,157.0,164.0,+
0.046,0.314,0.548,157.0,165.0,+
0.214,0.194,0.653,158.0,166.0,<
0.17,0.161,0.672,159.0,167.0,+
0.138,0.166,0.6835,159.0,168.0,+
0.112,0.0575,0.608,160.0,169.0,<
0.121,0.067,0.6145,160.0,170.0,+
0.151,0.097,0.633,161.0,171.0,<
0.152,0.092,0.622,161.0,172.0,+
0.106,0.0965,0.632,162.0,173.0,<
0.03,0.265,0.575,163.0,174.0,<
0.112,0.318,0.551,164.0,175.0,<
0.048,0.304,0.562,165.0,176.0,+
0.234,0.202,0.652,166.0,177.0,<
0.202,0.201,0.671,166.0,178.0,+
0.215,0.1805,0.665,166.0,179.0,+
0.226,0.192,0.653,166.0,180.0,+
0.179,0.156,0.657,167.0,181.0,+
