x,y,z,parentid,vid,edgetype
0.176,0.183,0.104,0.0,1.0,<
0.175,0.188,0.11,0.0,192.0,+
0.177,0.195,0.118,1.0,2.0,<
0.174,0.196,0.134,2.0,3.0,<
0.176,0.194,0.151,3.0,4.0,<
0.17,0.213,0.142,3.0,5.0,+
0.174,0.192,0.167,4.0,6.0,<
0.168,0.219,0.156,5.0,7.0,<
0.173,0.19,0.182,6.0,8.0,<
0.166,0.223,0.17,7.0,9.0,<
0.172,0.183,0.195,8.0,10.0,<
0.164,0.226,0.184,9.0,11.0,<
0.1755,0.191,0.21,10.0,12.0,<
0.163,0.166,0.203,10.0,13.0,+
0.163,0.227,0.197,11.0,14.0,<
0.176,0.191,0.224,12.0,15.0,<
0.156,0.156,0.211,13.0,16.0,<
0.163,0.227,0.213,14.0,17.0,<
0.177,0.191,0.239,15.0,18.0,<
0.151,0.144,0.219,16.0,19.0,<
0.16,0.228,0.227,17.0,20.0,<
0.181,0.226,0.217,17.0,21.0,+
0.177,0.192,0.254,18.0,22.0,<
0.145,0.133,0.226,19.0,23.0,<
0.158,0.227,0.238,20.0,24.0,<
0.196,0.227,0.22,21.0,25.0,<
0.177,0.193,0.268,22.0,26.0,<
0.14,0.123,0.234,23.0,27.0,<
0.161,0.23,0.256,24.0,28.0,<
0.138,0.221,0.243,24.0,29.0,+
0.21,0.227,0.22,25.0,30.0,<
0.176,0.192,0.283,26.0,31.0,<
0.193,0.196,0.279,26.0,32.0,+
0.134,0.111,0.24,27.0,33.0,<
0.13,0.126,0.2465,27.0,34.0,+
0.155,0.123,0.245,27.0,35.0,+
0.162,0.232,0.27,28.0,36.0,<
0.124,0.219,0.247,29.0,37.0,<
0.219,0.227,0.22,30.0,38.0,<
0.177,0.192,0.297,31.0,39.0,<
0.202,0.2,0.288,32.0,40.0,<
0.129,0.098,0.246,33.0,41.0,<
0.121,0.131,0.256,34.0,42.0,<
0.159,0.235,0.283,36.0,43.0,<
0.177,0.237,0.275,36.0,44.0,+
0.115,0.217,0.248,37.0,45.0,<
0.119,0.221,0.252,37.0,46.0,+
0.177,0.192,0.311,39.0,47.0,<
0.215,0.202,0.295,40.0,48.0,<
0.125,0.088,0.254,41.0,49.0,<
0.11,0.139,0.266,42.0,50.0,<
0.157,0.239,0.299,43.0,51.0,<
0.186,0.244,0.279,44.0,52.0,<
0.177,0.192,0.326,47.0,53.0,<
0.227,0.205,0.303,48.0,54.0,<
0.116,0.079,0.259,49.0,55.0,<
0.14,0.085,0.264,49.0,56.0,+
0.106,0.142,0.269,50.0,57.0,<
0.16,0.243,0.309,51.0,58.0,<
0.146,0.242,0.302,51.0,59.0,+
0.178,0.191,0.341,53.0,60.0,<
0.238,0.209,0.31,54.0,61.0,<
0.113,0.061,0.262,55.0,62.0,<
0.096,0.091,0.266,55.0,63.0,+
0.151,0.08,0.272,56.0,64.0,<
0.163,0.247,0.32,58.0,65.0,<
0.178,0.191,0.354,60.0,66.0,<
0.25,0.211,0.318,61.0,67.0,<
0.106,0.049,0.263,62.0,68.0,<
0.12,0.06,0.271,62.0,69.0,+
0.085,0.096,0.268,63.0,70.0,<
0.092,0.087,0.272,63.0,71.0,+
0.164,0.076,0.275,64.0,72.0,<
0.173,0.195,0.366,66.0,73.0,<
0.2605,0.219,0.321,67.0,74.0,<
0.253,0.199,0.331,67.0,75.0,+
0.1,0.035,0.264,68.0,76.0,<
0.072,0.102,0.271,70.0,77.0,<
0.171,0.072,0.276,72.0,78.0,<
0.175,0.194,0.384,73.0,79.0,<
0.156,0.2,0.37,73.0,80.0,+
0.166,0.197,0.3565,73.0,81.0,+
0.279,0.221,0.32,74.0,82.0,<
0.244,0.232,0.341,74.0,83.0,+
0.255,0.188,0.339,75.0,84.0,<
0.099,0.026,0.268,76.0,85.0,<
0.064,0.108,0.272,77.0,86.0,<
0.176,0.194,0.398,79.0,87.0,<
0.1435,0.203,0.379,80.0,88.0,<
0.293,0.224,0.322,82.0,89.0,<
0.239,0.24,0.349,83.0,90.0,<
0.257,0.1745,0.343,84.0,91.0,<
0.176,0.193,0.413,87.0,92.0,<
0.132,0.205,0.388,88.0,93.0,<
0.3,0.233,0.327,89.0,94.0,<
0.298,0.213,0.332,89.0,95.0,+
0.258,0.1635,0.344,91.0,96.0,<
0.177,0.192,0.428,92.0,97.0,<
0.122,0.209,0.396,93.0,98.0,<
0.318,0.236,0.326,94.0,99.0,<
0.29,0.248,0.339,94.0,100.0,+
0.301,0.2,0.34,95.0,101.0,<
0.178,0.189,0.443,97.0,102.0,<
0.109,0.214,0.401,98.0,103.0,<
0.131,0.206,0.407,98.0,104.0,+
0.132,0.2135,0.408,98.0,105.0,+
0.1175,0.205,0.403,98.0,106.0,+
0.127,0.216,0.4,98.0,107.0,+
0.327,0.243,0.328,99.0,108.0,<
0.287,0.259,0.346,100.0,109.0,<
0.306,0.187,0.342,101.0,110.0,<
0.296,0.198,0.348,101.0,111.0,+
0.181,0.187,0.455,102.0,112.0,<
0.096,0.214,0.408,103.0,113.0,<
0.343,0.2495,0.324,108.0,114.0,<
0.33,0.22,0.343,108.0,115.0,+
0.313,0.256,0.3335,108.0,116.0,+
0.281,0.272,0.351,109.0,117.0,<
0.31,0.173,0.344,110.0,118.0,<
0.187,0.166,0.462,112.0,119.0,<
0.18,0.19,0.472,112.0,120.0,+
0.184,0.181,0.456,112.0,121.0,+
0.086,0.223,0.41,113.0,122.0,<
0.093,0.199,0.419,113.0,123.0,+
0.088,0.212,0.412,113.0,124.0,+
0.088,0.208,0.408,113.0,125.0,+
0.354,0.254,0.323,114.0,126.0,<
0.3145,0.16,0.344,118.0,127.0,<
0.191,0.155,0.471,119.0,128.0,<
0.18,0.19,0.486,120.0,129.0,<
0.069,0.228,0.412,122.0,130.0,<
0.106,0.233,0.43,122.0,131.0,+
0.091,0.188,0.422,123.0,132.0,<
0.088,0.204,0.419,123.0,133.0,+
0.317,0.152,0.3455,127.0,134.0,<
0.195,0.145,0.479,128.0,135.0,<
0.181,0.194,0.498,129.0,136.0,<
0.055,0.233,0.414,130.0,137.0,<
0.07,0.231,0.4215,130.0,138.0,+
0.118,0.243,0.436,131.0,139.0,<
0.106,0.233,0.438,131.0,140.0,+
0.089,0.17,0.422,132.0,141.0,<
0.2,0.131,0.484,135.0,142.0,<
0.188,0.208,0.509,136.0,143.0,<
0.179,0.194,0.506,136.0,144.0,+
0.042,0.236,0.415,137.0,145.0,<
0.121,0.242,0.442,139.0,146.0,<
0.088,0.163,0.42,141.0,147.0,<
0.086,0.167,0.424,141.0,148.0,+
0.205,0.122,0.487,142.0,149.0,<
0.192,0.218,0.517,143.0,150.0,<
0.034,0.244,0.4175,145.0,151.0,<
0.035,0.217,0.411,145.0,152.0,+
0.21,0.104,0.4825,149.0,153.0,<
0.2185,0.1355,0.499,149.0,154.0,+
0.186,0.117,0.499,149.0,155.0,+
0.197,0.229,0.526,150.0,156.0,<
0.016,0.248,0.415,151.0,157.0,<
0.05,0.252,0.44,151.0,158.0,+
0.029,0.205,0.407,152.0,159.0,<
0.036,0.214,0.417,152.0,160.0,+
0.215,0.092,0.479,153.0,161.0,<
0.203,0.243,0.529,156.0,162.0,<
0.204,0.225,0.537,156.0,163.0,+
0.19,0.231,0.533,156.0,164.0,+
0.006,0.254,0.412,157.0,165.0,<
0.014,0.253,0.423,157.0,166.0,+
0.051,0.249,0.444,158.0,167.0,<
0.056,0.261,0.446,158.0,168.0,+
0.024,0.196,0.401,159.0,169.0,<
0.221,0.079,0.47,161.0,170.0,<
0.204,0.082,0.479,161.0,171.0,+
0.232,0.095,0.49,161.0,172.0,+
0.215,0.084,0.477,161.0,173.0,+
0.209,0.255,0.529,162.0,174.0,<
0.018,0.186,0.395,169.0,175.0,<
0.225,0.068,0.462,170.0,176.0,<
0.227,0.076,0.4705,170.0,177.0,+
0.192,0.077,0.478,171.0,178.0,<
0.241,0.098,0.492,172.0,179.0,<
0.215,0.266,0.529,174.0,180.0,<
0.23,0.059,0.453,176.0,181.0,<
0.222,0.279,0.521,180.0,182.0,<
0.23,0.255,0.533,180.0,183.0,+
0.197,0.27,0.538,180.0,184.0,+
0.235,0.051,0.447,181.0,185.0,<
0.227,0.2915,0.511,182.0,186.0,<
0.25,0.054,0.447,185.0,187.0,+
0.238,0.043,0.435,185.0,188.0,+
0.232,0.298,0.505,186.0,189.0,<
0.221,0.3,0.511,186.0,190.0,+
0.233,0.305,0.496,189.0,191.0,<
0.175,0.188,0.11,192.0,193.0,<
0.177,0.195,0.118,193.0,194.0,<
0.174,0.196,0.134,194.0,195.0,<
0.176,0.194,0.151,194.0,196.0,+
0.17,0.213,0.142,195.0,197.0,<
0.174,0.192,0.167,196.0,198.0,<
0.168,0.219,0.156,197.0,199.0,<
0.173,0.19,0.182,198.0,200.0,<
0.166,0.223,0.17,199.0,201.0,<
0.172,0.183,0.195,200.0,202.0,<
0.164,0.226,0.184,201.0,203.0,<
0.1755,0.191,0.21,201.0,204.0,+
0.163,0.166,0.203,202.0,205.0,<
0.163,0.227,0.197,203.0,206.0,<
0.176,0.191,0.224,204.0,207.0,<
0.156,0.156,0.211,205.0,208.0,<
0.163,0.227,0.213,206.0,209.0,<
0.177,0.191,0.239,207.0,210.0,<
0.151,0.144,0.219,208.0,211.0,<
0.16,0.228,0.227,208.0,212.0,+
0.181,0.226,0.217,209.0,213.0,<
0.177,0.192,0.254,210.0,214.0,<
0.145,0.133,0.226,211.0,215.0,<
0.158,0.227,0.238,212.0,216.0,<
0.196,0.227,0.22,213.0,217.0,<
0.177,0.193,0.268,214.0,218.0,<
0.14,0.123,0.234,215.0,219.0,<
0.161,0.23,0.256,215.0,220.0,+
0.138,0.221,0.243,216.0,221.0,<
0.21,0.227,0.22,217.0,222.0,<
0.176,0.192,0.283,217.0,223.0,+
0.193,0.196,0.279,218.0,224.0,<
0.134,0.111,0.24,218.0,225.0,+
0.13,0.126,0.2465,218.0,226.0,+
0.155,0.123,0.245,219.0,227.0,<
0.162,0.232,0.27,220.0,228.0,<
0.124,0.219,0.247,221.0,229.0,<
0.219,0.227,0.22,222.0,230.0,<
0.177,0.192,0.297,223.0,231.0,<
0.202,0.2,0.288,224.0,232.0,<
0.129,0.098,0.246,225.0,233.0,<
0.121,0.131,0.256,227.0,234.0,<
0.159,0.235,0.283,227.0,235.0,+
0.177,0.237,0.275,228.0,236.0,<
0.115,0.217,0.248,228.0,237.0,+
0.119,0.221,0.252,230.0,238.0,<
0.177,0.192,0.311,231.0,239.0,<
0.215,0.202,0.295,232.0,240.0,<
0.125,0.088,0.254,233.0,241.0,<
0.11,0.139,0.266,234.0,242.0,<
0.157,0.239,0.299,235.0,243.0,<
0.186,0.244,0.279,238.0,244.0,<
0.177,0.192,0.326,239.0,245.0,<
0.227,0.205,0.303,240.0,246.0,<
0.116,0.079,0.259,240.0,247.0,+
0.14,0.085,0.264,241.0,248.0,<
0.106,0.142,0.269,242.0,249.0,<
0.16,0.243,0.309,242.0,250.0,+
0.146,0.242,0.302,244.0,251.0,<
0.178,0.191,0.341,245.0,252.0,<
0.238,0.209,0.31,246.0,253.0,<
0.113,0.061,0.262,246.0,254.0,+
0.096,0.091,0.266,247.0,255.0,<
0.151,0.08,0.272,249.0,256.0,<
0.163,0.247,0.32,251.0,257.0,<
0.178,0.191,0.354,252.0,258.0,<
0.25,0.211,0.318,253.0,259.0,<
0.106,0.049,0.263,253.0,260.0,+
0.12,0.06,0.271,254.0,261.0,<
0.085,0.096,0.268,254.0,262.0,+
0.092,0.087,0.272,255.0,263.0,<
0.164,0.076,0.275,257.0,264.0,<
0.173,0.195,0.366,258.0,265.0,<
0.2605,0.219,0.321,258.0,266.0,+
0.253,0.199,0.331,259.0,267.0,<
0.1,0.035,0.264,261.0,268.0,<
0.072,0.102,0.271,263.0,269.0,<
0.171,0.072,0.276,264.0,270.0,<
0.175,0.194,0.384,264.0,271.0,+
0.156,0.2,0.37,264.0,272.0,+
0.166,0.197,0.3565,265.0,273.0,<
0.279,0.221,0.32,265.0,274.0,+
0.244,0.232,0.341,266.0,275.0,<
0.255,0.188,0.339,267.0,276.0,<
0.099,0.026,0.268,268.0,277.0,<
0.064,0.108,0.272,270.0,278.0,<
0.176,0.194,0.398,271.0,279.0,<
0.1435,0.203,0.379,273.0,280.0,<
0.293,0.224,0.322,274.0,281.0,<
0.239,0.24,0.349,275.0,282.0,<
0.257,0.1745,0.343,278.0,283.0,<
0.176,0.193,0.413,279.0,284.0,<
0.132,0.205,0.388,280.0,285.0,<
0.3,0.233,0.327,280.0,286.0,+
0.298,0.213,0.332,282.0,287.0,<
0.258,0.1635,0.344,283.0,288.0,<
0.177,0.192,0.428,284.0,289.0,<
0.122,0.209,0.396,285.0,290.0,<
0.318,0.236,0.326,285.0,291.0,+
0.29,0.248,0.339,286.0,292.0,<
0.301,0.2,0.34,288.0,293.0,<
0.178,0.189,0.443,289.0,294.0,<
0.109,0.214,0.401,289.0,295.0,+
0.131,0.206,0.407,289.0,296.0,+
0.132,0.2135,0.408,289.0,297.0,+
0.1175,0.205,0.403,289.0,298.0,+
0.127,0.216,0.4,290.0,299.0,<
0.327,0.243,0.328,291.0,300.0,<
0.287,0.259,0.346,292.0,301.0,<
0.306,0.187,0.342,292.0,302.0,+
0.296,0.198,0.348,293.0,303.0,<
0.181,0.187,0.455,294.0,304.0,<
0.096,0.214,0.408,299.0,305.0,<
0.343,0.2495,0.324,299.0,306.0,+
0.33,0.22,0.343,299.0,307.0,+
0.313,0.256,0.3335,300.0,308.0,<
0.281,0.272,0.351,301.0,309.0,<
0.31,0.173,0.344,303.0,310.0,<
0.187,0.166,0.462,303.0,311.0,+
0.18,0.19,0.472,303.0,312.0,+
0.184,0.181,0.456,304.0,313.0,<
0.086,0.223,0.41,304.0,314.0,+
0.093,0.199,0.419,304.0,315.0,+
0.088,0.212,0.412,304.0,316.0,+
0.088,0.208,0.408,305.0,317.0,<
0.354,0.254,0.323,309.0,318.0,<
0.3145,0.16,0.344,310.0,319.0,<
0.191,0.155,0.471,311.0,320.0,<
0.18,0.19,0.486,313.0,321.0,<
0.069,0.228,0.412,313.0,322.0,+
0.106,0.233,0.43,314.0,323.0,<
0.091,0.188,0.422,314.0,324.0,+
0.088,0.204,0.419,318.0,325.0,<
0.317,0.152,0.3455,319.0,326.0,<
0.195,0.145,0.479,320.0,327.0,<
0.181,0.194,0.498,321.0,328.0,<
0.055,0.233,0.414,321.0,329.0,+
0.07,0.231,0.4215,322.0,330.0,<
0.118,0.243,0.436,322.0,331.0,+
0.106,0.233,0.438,323.0,332.0,<
0.089,0.17,0.422,326.0,333.0,<
0.2,0.131,0.484,327.0,334.0,<
0.188,0.208,0.509,327.0,335.0,+
0.179,0.194,0.506,328.0,336.0,<
0.042,0.236,0.415,330.0,337.0,<
0.121,0.242,0.442,332.0,338.0,<
0.088,0.163,0.42,332.0,339.0,+
0.086,0.167,0.424,333.0,340.0,<
0.205,0.122,0.487,334.0,341.0,<
0.192,0.218,0.517,336.0,342.0,<
0.034,0.244,0.4175,336.0,343.0,+
0.035,0.217,0.411,340.0,344.0,<
0.21,0.104,0.4825,340.0,345.0,+
0.2185,0.1355,0.499,340.0,346.0,+
0.186,0.117,0.499,341.0,347.0,<
0.197,0.229,0.526,342.0,348.0,<
0.016,0.248,0.415,342.0,349.0,+
0.05,0.252,0.44,343.0,350.0,<
0.029,0.205,0.407,343.0,351.0,+
0.036,0.214,0.417,344.0,352.0,<
0.215,0.092,0.479,347.0,353.0,<
0.203,0.243,0.529,347.0,354.0,+
0.204,0.225,0.537,347.0,355.0,+
0.19,0.231,0.533,348.0,356.0,<
0.006,0.254,0.412,348.0,357.0,+
0.014,0.253,0.423,349.0,358.0,<
0.051,0.249,0.444,349.0,359.0,+
0.056,0.261,0.446,350.0,360.0,<
0.024,0.196,0.401,352.0,361.0,<
0.221,0.079,0.47,352.0,362.0,+
0.204,0.082,0.479,352.0,363.0,+
0.232,0.095,0.49,352.0,364.0,+
0.215,0.084,0.477,353.0,365.0,<
0.209,0.255,0.529,360.0,366.0,<
0.018,0.186,0.395,361.0,367.0,<
0.225,0.068,0.462,361.0,368.0,+
0.227,0.076,0.4705,362.0,369.0,<
0.192,0.077,0.478,363.0,370.0,<
0.241,0.098,0.492,365.0,371.0,<
0.215,0.266,0.529,367.0,372.0,<
0.23,0.059,0.453,371.0,373.0,<
0.222,0.279,0.521,371.0,374.0,+
0.23,0.255,0.533,371.0,375.0,+
0.197,0.27,0.538,372.0,376.0,<
0.235,0.051,0.447,373.0,377.0,<
0.227,0.2915,0.511,376.0,378.0,+
0.25,0.054,0.447,376.0,379.0,+
0.238,0.043,0.435,377.0,380.0,<
0.232,0.298,0.505,377.0,381.0,+
0.221,0.3,0.511,380.0,382.0,<
0.233,0.305,0.496,,,
