x,y,z,parentid,vid,edgetype
0.172,0.186,0.108,0.0,1.0,<
0.172,0.192,0.116,0.0,198.0,+
0.173,0.198,0.133,1.0,2.0,<
0.173,0.201,0.154,2.0,3.0,<
0.173,0.196,0.174,3.0,4.0,<
0.166,0.22,0.165,3.0,5.0,+
0.183,0.205,0.162,3.0,6.0,+
0.174,0.196,0.195,4.0,7.0,<
0.163,0.234,0.179,5.0,8.0,<
0.176,0.195,0.214,7.0,9.0,<
0.16,0.247,0.194,8.0,10.0,<
0.178,0.193,0.233,9.0,11.0,<
0.1675,0.2045,0.2205,9.0,12.0,+
0.157,0.258,0.21,10.0,13.0,<
0.17,0.193,0.253,11.0,14.0,<
0.207,0.182,0.238,11.0,15.0,+
0.178,0.188,0.231,11.0,16.0,+
0.182,0.191,0.241,11.0,17.0,+
0.1565,0.269,0.228,13.0,18.0,<
0.167,0.191,0.274,14.0,19.0,<
0.225,0.174,0.243,15.0,20.0,<
0.153,0.277,0.238,18.0,21.0,<
0.161,0.187,0.287,19.0,22.0,<
0.243,0.167,0.248,20.0,23.0,<
0.149,0.294,0.254,21.0,24.0,<
0.193,0.284,0.235,21.0,25.0,+
0.125,0.263,0.249,21.0,26.0,+
0.167,0.192,0.312,22.0,27.0,<
0.13,0.17,0.287,22.0,28.0,+
0.256,0.158,0.249,23.0,29.0,<
0.246,0.175,0.2645,23.0,30.0,+
0.144,0.306,0.266,24.0,31.0,<
0.16,0.294,0.265,24.0,32.0,+
0.207,0.289,0.233,25.0,33.0,<
0.11,0.254,0.254,26.0,34.0,<
0.166,0.192,0.331,27.0,35.0,<
0.114,0.16,0.289,28.0,36.0,<
0.281,0.154,0.246,29.0,37.0,<
0.237,0.131,0.258,29.0,38.0,+
0.246,0.19,0.275,30.0,39.0,<
0.138,0.321,0.283,31.0,40.0,<
0.2285,0.2935,0.227,33.0,41.0,<
0.094,0.245,0.255,34.0,42.0,<
0.167,0.193,0.351,35.0,43.0,<
0.096,0.15,0.29,36.0,44.0,<
0.289,0.146,0.244,37.0,45.0,<
0.228,0.121,0.258,38.0,46.0,<
0.24,0.126,0.263,38.0,47.0,+
0.133,0.333,0.2915,40.0,48.0,<
0.117,0.321,0.286,40.0,49.0,+
0.157,0.329,0.286,40.0,50.0,+
0.1275,0.324,0.283,40.0,51.0,+
0.241,0.299,0.221,41.0,52.0,<
0.169,0.194,0.371,43.0,53.0,<
0.08,0.14,0.292,44.0,54.0,<
0.315,0.143,0.235,45.0,55.0,<
0.274,0.118,0.242,45.0,56.0,+
0.291,0.171,0.277,45.0,57.0,+
0.129,0.348,0.303,48.0,58.0,<
0.104,0.321,0.287,49.0,59.0,<
0.166,0.335,0.287,50.0,60.0,<
0.17,0.197,0.392,53.0,61.0,<
0.064,0.132,0.278,54.0,62.0,<
0.072,0.158,0.308,54.0,63.0,+
0.091,0.122,0.301,54.0,64.0,+
0.317,0.143,0.249,55.0,65.0,+
0.313,0.1275,0.239,55.0,66.0,+
0.327,0.14,0.225,55.0,67.0,+
0.264,0.103,0.24,56.0,68.0,<
0.293,0.186,0.288,57.0,69.0,<
0.126,0.358,0.31,58.0,70.0,<
0.175,0.2,0.403,61.0,71.0,<
0.162,0.205,0.3945,61.0,72.0,+
0.052,0.125,0.265,62.0,73.0,<
0.066,0.1765,0.318,63.0,74.0,<
0.254,0.0865,0.237,68.0,75.0,<
0.295,0.199,0.293,69.0,76.0,<
0.17,0.1935,0.429,71.0,77.0,<
0.206,0.222,0.405,71.0,78.0,+
0.04,0.116,0.253,73.0,79.0,<
0.061,0.196,0.324,74.0,80.0,<
0.2495,0.0775,0.2355,75.0,81.0,<
0.17,0.192,0.449,77.0,82.0,<
0.222,0.234,0.412,78.0,83.0,<
0.057,0.095,0.251,79.0,84.0,+
0.025,0.117,0.253,79.0,85.0,+
0.029,0.124,0.25,79.0,86.0,+
0.06,0.206,0.326,80.0,87.0,<
0.17,0.19,0.47,82.0,88.0,<
0.236,0.245,0.413,83.0,89.0,<
0.217,0.244,0.427,83.0,90.0,+
0.2305,0.22,0.425,83.0,91.0,+
0.069,0.077,0.251,84.0,92.0,<
0.014,0.139,0.275,85.0,93.0,+
0.17,0.186,0.49,88.0,94.0,<
0.255,0.255,0.415,89.0,95.0,<
0.206,0.2525,0.437,90.0,96.0,<
0.237,0.2145,0.427,91.0,97.0,<
0.079,0.063,0.247,92.0,98.0,<
0.073,0.078,0.264,92.0,99.0,+
0.063,0.067,0.248,92.0,100.0,+
0.008,0.151,0.28,93.0,101.0,<
0.018,0.1385,0.2835,93.0,102.0,+
0.168,0.185,0.508,94.0,103.0,<
0.264,0.268,0.413,95.0,104.0,<
0.266,0.242,0.424,95.0,105.0,+
0.195,0.259,0.4395,96.0,106.0,<
0.088,0.051,0.244,98.0,107.0,<
0.166,0.184,0.527,103.0,108.0,<
0.285,0.278,0.406,104.0,109.0,<
0.245,0.281,0.442,104.0,110.0,+
0.273,0.224,0.433,105.0,111.0,<
0.166,0.182,0.548,108.0,112.0,<
0.298,0.29,0.398,109.0,113.0,<
0.276,0.291,0.423,109.0,114.0,+
0.292,0.267,0.41,109.0,115.0,+
0.238,0.296,0.451,110.0,116.0,<
0.24,0.275,0.45,110.0,117.0,+
0.28,0.208,0.432,111.0,118.0,<
0.282,0.225,0.438,111.0,119.0,+
0.268,0.222,0.44,111.0,120.0,+
0.166,0.181,0.567,112.0,121.0,<
0.312,0.288,0.394,113.0,122.0,<
0.269,0.294,0.428,114.0,123.0,<
0.223,0.309,0.456,116.0,124.0,<
0.249,0.2985,0.458,116.0,125.0,+
0.287,0.191,0.427,118.0,126.0,<
0.165,0.183,0.5874999999999999,121.0,127.0,<
0.321,0.264,0.389,122.0,128.0,<
0.315,0.276,0.4,122.0,129.0,+
0.317,0.277,0.397,122.0,130.0,+
0.211,0.322,0.46,124.0,131.0,<
0.2895,0.181,0.424,126.0,132.0,<
0.162,0.185,0.603,127.0,133.0,<
0.328,0.247,0.385,128.0,134.0,<
0.20400000000000001,0.3295,0.4615,131.0,135.0,<
0.133,0.203,0.608,133.0,136.0,+
0.169,0.18,0.626,133.0,137.0,+
0.335,0.232,0.378,134.0,138.0,<
0.325,0.239,0.391,134.0,139.0,+
0.115,0.213,0.615,136.0,140.0,<
0.171,0.18,0.646,137.0,141.0,<
0.339,0.221,0.373,138.0,142.0,<
0.099,0.223,0.616,140.0,143.0,<
0.107,0.206,0.63,140.0,144.0,+
0.1255,0.223,0.6315,140.0,145.0,+
0.175,0.182,0.663,141.0,146.0,<
0.083,0.234,0.617,143.0,147.0,<
0.103,0.1965,0.639,144.0,148.0,<
0.133,0.23,0.638,145.0,149.0,<
0.205,0.182,0.668,146.0,150.0,+
0.17,0.177,0.684,146.0,151.0,+
0.066,0.243,0.61,147.0,152.0,<
0.07,0.224,0.629,147.0,153.0,+
0.093,0.247,0.637,147.0,154.0,+
0.2215,0.182,0.678,150.0,155.0,<
0.17,0.176,0.697,151.0,156.0,<
0.051,0.252,0.6,152.0,157.0,<
0.064,0.253,0.622,152.0,158.0,+
0.063,0.214,0.642,153.0,159.0,<
0.101,0.264,0.646,154.0,160.0,<
0.244,0.182,0.681,155.0,161.0,<
0.215,0.1685,0.6915,155.0,162.0,+
0.216,0.1895,0.692,155.0,163.0,+
0.21,0.197,0.6904999999999999,155.0,164.0,+
0.042,0.264,0.589,157.0,165.0,<
0.043,0.24,0.611,157.0,166.0,+
0.057,0.2005,0.655,159.0,167.0,<
0.111,0.277,0.65,160.0,168.0,<
0.099,0.269,0.652,160.0,169.0,+
0.259,0.18,0.683,161.0,170.0,<
0.245,0.196,0.693,161.0,171.0,+
0.026,0.266,0.576,165.0,172.0,<
0.049,0.285,0.603,165.0,173.0,+
0.05,0.181,0.656,167.0,174.0,<
0.068,0.196,0.662,167.0,175.0,+
0.123,0.287,0.645,168.0,176.0,<
0.282,0.184,0.68,170.0,177.0,<
0.242,0.205,0.698,171.0,178.0,<
0.015,0.238,0.585,172.0,179.0,+
0.026,0.279,0.582,172.0,180.0,+
0.017,0.277,0.56,172.0,181.0,+
0.055,0.3,0.614,173.0,182.0,<
0.046,0.166,0.654,174.0,183.0,<
0.301,0.185,0.674,177.0,184.0,<
0.289,0.175,0.692,177.0,185.0,+
0.275,0.196,0.695,177.0,186.0,+
0.007,0.22,0.586,179.0,187.0,<
0.063,0.315,0.62,182.0,188.0,<
0.061,0.297,0.6234999999999999,182.0,189.0,+
0.317,0.184,0.669,184.0,190.0,<
0.068,0.325,0.623,188.0,191.0,<
0.314,0.211,0.684,190.0,192.0,+
0.329,0.18,0.6525000000000001,190.0,193.0,+
0.321,0.169,0.674,190.0,194.0,+
0.31,0.2305,0.685,192.0,195.0,<
0.337,0.177,0.638,193.0,196.0,<
0.309,0.241,0.684,195.0,197.0,<
0.172,0.192,0.116,198.0,199.0,<
0.173,0.198,0.133,199.0,200.0,<
0.173,0.201,0.154,200.0,201.0,<
0.173,0.196,0.174,200.0,202.0,+
0.166,0.22,0.165,200.0,203.0,+
0.183,0.205,0.162,201.0,204.0,<
0.174,0.196,0.195,202.0,205.0,<
0.163,0.234,0.179,204.0,206.0,<
0.176,0.195,0.214,205.0,207.0,<
0.16,0.247,0.194,206.0,208.0,<
0.178,0.193,0.233,206.0,209.0,+
0.1675,0.2045,0.2205,207.0,210.0,<
0.157,0.258,0.21,208.0,211.0,<
0.17,0.193,0.253,208.0,212.0,+
0.207,0.182,0.238,208.0,213.0,+
0.178,0.188,0.231,208.0,214.0,+
0.182,0.191,0.241,210.0,215.0,<
0.1565,0.269,0.228,211.0,216.0,<
0.167,0.191,0.274,212.0,217.0,<
0.225,0.174,0.243,215.0,218.0,<
0.153,0.277,0.238,216.0,219.0,<
0.161,0.187,0.287,217.0,220.0,<
0.243,0.167,0.248,218.0,221.0,<
0.149,0.294,0.254,218.0,222.0,+
0.193,0.284,0.235,218.0,223.0,+
0.125,0.263,0.249,219.0,224.0,<
0.167,0.192,0.312,219.0,225.0,+
0.13,0.17,0.287,220.0,226.0,<
0.256,0.158,0.249,220.0,227.0,+
0.246,0.175,0.2645,221.0,228.0,<
0.144,0.306,0.266,221.0,229.0,+
0.16,0.294,0.265,222.0,230.0,<
0.207,0.289,0.233,223.0,231.0,<
0.11,0.254,0.254,224.0,232.0,<
0.166,0.192,0.331,225.0,233.0,<
0.114,0.16,0.289,226.0,234.0,<
0.281,0.154,0.246,226.0,235.0,+
0.237,0.131,0.258,227.0,236.0,<
0.246,0.19,0.275,228.0,237.0,<
0.138,0.321,0.283,230.0,238.0,<
0.2285,0.2935,0.227,231.0,239.0,<
0.094,0.245,0.255,232.0,240.0,<
0.167,0.193,0.351,233.0,241.0,<
0.096,0.15,0.29,234.0,242.0,<
0.289,0.146,0.244,235.0,243.0,<
0.228,0.121,0.258,235.0,244.0,+
0.24,0.126,0.263,237.0,245.0,<
0.133,0.333,0.2915,237.0,246.0,+
0.117,0.321,0.286,237.0,247.0,+
0.157,0.329,0.286,237.0,248.0,+
0.1275,0.324,0.283,238.0,249.0,<
0.241,0.299,0.221,240.0,250.0,<
0.169,0.194,0.371,241.0,251.0,<
0.08,0.14,0.292,242.0,252.0,<
0.315,0.143,0.235,242.0,253.0,+
0.274,0.118,0.242,242.0,254.0,+
0.291,0.171,0.277,245.0,255.0,<
0.129,0.348,0.303,246.0,256.0,<
0.104,0.321,0.287,247.0,257.0,<
0.166,0.335,0.287,250.0,258.0,<
0.17,0.197,0.392,251.0,259.0,<
0.064,0.132,0.278,251.0,260.0,+
0.072,0.158,0.308,251.0,261.0,+
0.091,0.122,0.301,252.0,262.0,+
0.317,0.143,0.249,252.0,263.0,+
0.313,0.1275,0.239,252.0,264.0,+
0.327,0.14,0.225,253.0,265.0,<
0.264,0.103,0.24,254.0,266.0,<
0.293,0.186,0.288,255.0,267.0,<
0.126,0.358,0.31,258.0,268.0,<
0.175,0.2,0.403,258.0,269.0,+
0.162,0.205,0.3945,259.0,270.0,<
0.052,0.125,0.265,260.0,271.0,<
0.066,0.1765,0.318,265.0,272.0,<
0.254,0.0865,0.237,266.0,273.0,<
0.295,0.199,0.293,268.0,274.0,<
0.17,0.1935,0.429,268.0,275.0,+
0.206,0.222,0.405,270.0,276.0,<
0.04,0.116,0.253,271.0,277.0,<
0.061,0.196,0.324,272.0,278.0,<
0.2495,0.0775,0.2355,274.0,279.0,<
0.17,0.192,0.449,275.0,280.0,<
0.222,0.234,0.412,276.0,281.0,+
0.057,0.095,0.251,276.0,282.0,+
0.025,0.117,0.253,276.0,283.0,+
0.029,0.124,0.25,277.0,284.0,<
0.06,0.206,0.326,279.0,285.0,<
0.17,0.19,0.47,280.0,286.0,<
0.236,0.245,0.413,280.0,287.0,+
0.217,0.244,0.427,280.0,288.0,+
0.2305,0.22,0.425,281.0,289.0,<
0.069,0.077,0.251,282.0,290.0,+
0.014,0.139,0.275,285.0,291.0,<
0.17,0.186,0.49,286.0,292.0,<
0.255,0.255,0.415,287.0,293.0,<
0.206,0.2525,0.437,288.0,294.0,<
0.237,0.2145,0.427,289.0,295.0,<
0.079,0.063,0.247,289.0,296.0,+
0.073,0.078,0.264,289.0,297.0,+
0.063,0.067,0.248,290.0,298.0,<
0.008,0.151,0.28,290.0,299.0,+
0.018,0.1385,0.2835,291.0,300.0,<
0.168,0.185,0.508,292.0,301.0,<
0.264,0.268,0.413,292.0,302.0,+
0.266,0.242,0.424,293.0,303.0,<
0.195,0.259,0.4395,295.0,304.0,<
0.088,0.051,0.244,300.0,305.0,<
0.166,0.184,0.527,301.0,306.0,<
0.285,0.278,0.406,301.0,307.0,+
0.245,0.281,0.442,302.0,308.0,<
0.273,0.224,0.433,305.0,309.0,<
0.166,0.182,0.548,306.0,310.0,<
0.298,0.29,0.398,306.0,311.0,+
0.276,0.291,0.423,306.0,312.0,+
0.292,0.267,0.41,307.0,313.0,<
0.238,0.296,0.451,307.0,314.0,+
0.24,0.275,0.45,308.0,315.0,<
0.28,0.208,0.432,308.0,316.0,+
0.282,0.225,0.438,308.0,317.0,+
0.268,0.222,0.44,309.0,318.0,<
0.166,0.181,0.567,310.0,319.0,<
0.312,0.288,0.394,311.0,320.0,<
0.269,0.294,0.428,313.0,321.0,<
0.223,0.309,0.456,313.0,322.0,+
0.249,0.2985,0.458,315.0,323.0,<
0.287,0.191,0.427,318.0,324.0,<
0.165,0.183,0.5874999999999999,319.0,325.0,<
0.321,0.264,0.389,319.0,326.0,+
0.315,0.276,0.4,319.0,327.0,+
0.317,0.277,0.397,321.0,328.0,<
0.211,0.322,0.46,323.0,329.0,<
0.2895,0.181,0.424,324.0,330.0,<
0.162,0.185,0.603,325.0,331.0,<
0.328,0.247,0.385,328.0,332.0,<
0.20400000000000001,0.3295,0.4615,330.0,333.0,+
0.133,0.203,0.608,330.0,334.0,+
0.169,0.18,0.626,331.0,335.0,<
0.335,0.232,0.378,331.0,336.0,+
0.325,0.239,0.391,333.0,337.0,<
0.115,0.213,0.615,334.0,338.0,<
0.171,0.18,0.646,335.0,339.0,<
0.339,0.221,0.373,337.0,340.0,<
0.099,0.223,0.616,337.0,341.0,+
0.107,0.206,0.63,337.0,342.0,+
0.1255,0.223,0.6315,338.0,343.0,<
0.175,0.182,0.663,340.0,344.0,<
0.083,0.234,0.617,341.0,345.0,<
0.103,0.1965,0.639,342.0,346.0,<
0.133,0.23,0.638,343.0,347.0,+
0.205,0.182,0.668,343.0,348.0,+
0.17,0.177,0.684,344.0,349.0,<
0.066,0.243,0.61,344.0,350.0,+
0.07,0.224,0.629,344.0,351.0,+
0.093,0.247,0.637,347.0,352.0,<
0.2215,0.182,0.678,348.0,353.0,<
0.17,0.176,0.697,349.0,354.0,<
0.051,0.252,0.6,349.0,355.0,+
0.064,0.253,0.622,350.0,356.0,<
0.063,0.214,0.642,351.0,357.0,<
0.101,0.264,0.646,352.0,358.0,<
0.244,0.182,0.681,352.0,359.0,+
0.215,0.1685,0.6915,352.0,360.0,+
0.216,0.1895,0.692,352.0,361.0,+
0.21,0.197,0.6904999999999999,354.0,362.0,<
0.042,0.264,0.589,354.0,363.0,+
