x,y,z,parentid,vid,edgetype
0.17,0.197,0.107,0.0,1.0,<
0.167,0.191,0.113,0.0,150.0,+
0.181,0.189,0.122,1.0,2.0,<
0.172,0.192,0.149,2.0,3.0,+
0.202,0.186,0.12,2.0,4.0,+
0.19,0.194,0.1255,2.0,5.0,+
0.198,0.193,0.109,2.0,6.0,+
0.171,0.193,0.169,3.0,7.0,<
0.224,0.182,0.122,4.0,8.0,<
0.172,0.194,0.189,7.0,9.0,<
0.242,0.178,0.121,8.0,10.0,<
0.174,0.193,0.208,9.0,11.0,<
0.264,0.174,0.119,10.0,12.0,<
0.173,0.192,0.23,11.0,13.0,<
0.275,0.171,0.117,12.0,14.0,<
0.173,0.189,0.242,13.0,15.0,<
0.297,0.174,0.113,14.0,16.0,<
0.258,0.171,0.132,14.0,17.0,+
0.27,0.1485,0.122,14.0,18.0,+
0.176,0.193,0.267,15.0,19.0,<
0.172,0.155,0.233,15.0,20.0,+
0.315,0.167,0.107,16.0,21.0,<
0.298,0.204,0.133,16.0,22.0,+
0.177,0.194,0.287,19.0,23.0,<
0.183,0.196,0.276,19.0,24.0,+
0.172,0.135,0.229,20.0,25.0,<
0.322,0.172,0.114,21.0,26.0,+
0.298,0.215,0.136,22.0,27.0,<
0.183,0.198,0.305,23.0,28.0,<
0.172,0.119,0.225,25.0,29.0,<
0.182,0.203,0.318,28.0,30.0,<
0.174,0.098,0.215,29.0,31.0,<
0.177,0.198,0.346,30.0,32.0,<
0.216,0.228,0.31,30.0,33.0,+
0.175,0.079,0.208,31.0,34.0,<
0.178,0.089,0.214,31.0,35.0,+
0.174,0.196,0.366,32.0,36.0,<
0.233,0.239,0.312,33.0,37.0,<
0.181,0.07,0.201,34.0,38.0,<
0.154,0.074,0.221,34.0,39.0,+
0.167,0.195,0.383,36.0,40.0,<
0.248,0.249,0.314,37.0,41.0,<
0.179,0.045,0.185,38.0,42.0,<
0.216,0.079,0.208,38.0,43.0,+
0.142,0.064,0.22,39.0,44.0,<
0.171,0.196,0.405,40.0,45.0,<
0.133,0.195,0.382,40.0,46.0,+
0.262,0.258,0.318,41.0,47.0,<
0.18,0.031,0.174,42.0,48.0,<
0.229,0.078,0.209,43.0,49.0,<
0.172,0.196,0.424,45.0,50.0,<
0.114,0.193,0.384,46.0,51.0,<
0.278,0.271,0.306,47.0,52.0,<
0.2485,0.267,0.322,47.0,53.0,+
0.176,0.02,0.166,48.0,54.0,<
0.171,0.194,0.445,50.0,55.0,<
0.093,0.191,0.386,51.0,56.0,<
0.294,0.282,0.305,52.0,57.0,<
0.173,0.19,0.462,55.0,58.0,<
0.079,0.189,0.388,56.0,59.0,<
0.095,0.189,0.395,56.0,60.0,+
0.276,0.302,0.322,57.0,61.0,+
0.311,0.255,0.308,57.0,62.0,+
0.307,0.291,0.295,57.0,63.0,+
0.169,0.193,0.483,58.0,64.0,<
0.192,0.166,0.466,58.0,65.0,+
0.057,0.188,0.382,59.0,66.0,<
0.097,0.163,0.397,59.0,67.0,+
0.083,0.213,0.401,59.0,68.0,+
0.267,0.312,0.323,61.0,69.0,<
0.271,0.299,0.33,61.0,70.0,+
0.291,0.3,0.332,61.0,71.0,+
0.324,0.242,0.305,62.0,72.0,<
0.167,0.193,0.5035000000000001,64.0,73.0,<
0.203,0.15,0.469,65.0,74.0,<
0.039,0.185,0.376,66.0,75.0,<
0.165,0.194,0.522,73.0,76.0,<
0.215,0.134,0.472,74.0,77.0,<
0.022,0.189,0.375,75.0,78.0,<
0.044,0.162,0.379,75.0,79.0,+
0.0455,0.1925,0.3685,75.0,80.0,+
0.165,0.195,0.539,76.0,81.0,<
0.227,0.122,0.478,77.0,82.0,<
0.02,0.215,0.388,78.0,83.0,+
0.007,0.185,0.362,78.0,84.0,+
0.049,0.143,0.377,79.0,85.0,<
0.16,0.192,0.561,81.0,86.0,<
0.168,0.229,0.54,81.0,87.0,+
0.1505,0.1915,0.548,81.0,88.0,+
0.238,0.105,0.471,82.0,89.0,<
0.238,0.14,0.493,82.0,90.0,+
0.203,0.114,0.496,82.0,91.0,+
0.018,0.228,0.391,83.0,92.0,<
0.157,0.191,0.581,86.0,93.0,<
0.17,0.248,0.545,87.0,94.0,<
0.25,0.089,0.468,89.0,95.0,<
0.245,0.151,0.499,90.0,96.0,<
0.191,0.109,0.501,91.0,97.0,<
0.149,0.187,0.6,93.0,98.0,<
0.173,0.266,0.549,94.0,99.0,<
0.26,0.075,0.469,95.0,100.0,<
0.257,0.084,0.471,95.0,101.0,+
0.142,0.183,0.614,98.0,102.0,<
0.175,0.288,0.553,99.0,103.0,<
0.275,0.061,0.458,100.0,104.0,<
0.279,0.094,0.477,100.0,105.0,+
0.232,0.06,0.479,100.0,106.0,+
0.275,0.093,0.47,100.0,107.0,+
0.2335,0.064,0.471,100.0,108.0,+
0.111,0.164,0.603,102.0,109.0,+
0.146,0.187,0.638,102.0,110.0,+
0.177,0.296,0.557,103.0,111.0,<
0.284,0.049,0.449,104.0,112.0,<
0.295,0.1075,0.48,105.0,113.0,<
0.218,0.051,0.482,106.0,114.0,<
0.097,0.154,0.599,109.0,115.0,<
0.144,0.187,0.659,110.0,116.0,<
0.179,0.324,0.552,111.0,117.0,<
0.148,0.295,0.575,111.0,118.0,+
0.194,0.288,0.58,111.0,119.0,+
0.163,0.294,0.573,111.0,120.0,+
0.293,0.039,0.441,112.0,121.0,<
0.305,0.119,0.481,113.0,122.0,<
0.082,0.142,0.599,115.0,123.0,<
0.144,0.186,0.677,116.0,124.0,<
0.181,0.342,0.55,117.0,125.0,<
0.139,0.2925,0.581,118.0,126.0,<
0.067,0.131,0.591,123.0,127.0,<
0.099,0.128,0.617,123.0,128.0,+
0.07,0.155,0.613,123.0,129.0,+
0.14,0.184,0.696,124.0,130.0,<
0.182,0.361,0.549,125.0,131.0,<
0.0525,0.12,0.585,127.0,132.0,<
0.108,0.121,0.625,128.0,133.0,<
0.065,0.164,0.618,129.0,134.0,<
0.157,0.36,0.555,131.0,135.0,+
0.207,0.358,0.562,131.0,136.0,+
0.183,0.376,0.538,131.0,137.0,+
0.039,0.109,0.582,132.0,138.0,<
0.134,0.357,0.56,135.0,139.0,<
0.225,0.355,0.569,136.0,140.0,<
0.053,0.091,0.594,138.0,141.0,+
0.024,0.131,0.598,138.0,142.0,+
0.032,0.1,0.581,138.0,143.0,+
0.132,0.356,0.567,139.0,144.0,+
0.123,0.353,0.563,139.0,145.0,+
0.238,0.353,0.571,140.0,146.0,<
0.064,0.08,0.602,141.0,147.0,<
0.012,0.143,0.604,142.0,148.0,<
0.066,0.079,0.614,147.0,149.0,<
0.167,0.191,0.113,150.0,151.0,<
0.181,0.189,0.122,151.0,152.0,+
0.172,0.192,0.149,151.0,153.0,+
0.202,0.186,0.12,151.0,154.0,+
0.19,0.194,0.1255,151.0,155.0,+
0.198,0.193,0.109,152.0,156.0,<
0.171,0.193,0.169,153.0,157.0,<
0.224,0.182,0.122,156.0,158.0,<
0.172,0.194,0.189,157.0,159.0,<
0.242,0.178,0.121,158.0,160.0,<
0.174,0.193,0.208,159.0,161.0,<
0.264,0.174,0.119,160.0,162.0,<
0.173,0.192,0.23,161.0,163.0,<
0.275,0.171,0.117,162.0,164.0,<
0.173,0.189,0.242,163.0,165.0,<
0.297,0.174,0.113,163.0,166.0,+
0.258,0.171,0.132,163.0,167.0,+
0.27,0.1485,0.122,164.0,168.0,<
0.176,0.193,0.267,164.0,169.0,+
0.172,0.155,0.233,165.0,170.0,<
0.315,0.167,0.107,165.0,171.0,+
0.298,0.204,0.133,168.0,172.0,<
0.177,0.194,0.287,168.0,173.0,+
0.183,0.196,0.276,169.0,174.0,<
0.172,0.135,0.229,170.0,175.0,+
0.322,0.172,0.114,171.0,176.0,<
0.298,0.215,0.136,172.0,177.0,<
0.183,0.198,0.305,174.0,178.0,<
0.172,0.119,0.225,177.0,179.0,<
0.182,0.203,0.318,178.0,180.0,<
0.174,0.098,0.215,179.0,181.0,<
0.177,0.198,0.346,179.0,182.0,+
0.216,0.228,0.31,180.0,183.0,<
0.175,0.079,0.208,180.0,184.0,+
0.178,0.089,0.214,181.0,185.0,<
0.174,0.196,0.366,182.0,186.0,<
0.233,0.239,0.312,183.0,187.0,<
0.181,0.07,0.201,183.0,188.0,+
0.154,0.074,0.221,185.0,189.0,<
0.167,0.195,0.383,186.0,190.0,<
0.248,0.249,0.314,187.0,191.0,<
0.179,0.045,0.185,187.0,192.0,+
0.216,0.079,0.208,188.0,193.0,<
0.142,0.064,0.22,189.0,194.0,<
0.171,0.196,0.405,189.0,195.0,+
0.133,0.195,0.382,190.0,196.0,<
0.262,0.258,0.318,191.0,197.0,<
0.18,0.031,0.174,192.0,198.0,<
0.229,0.078,0.209,194.0,199.0,<
0.172,0.196,0.424,195.0,200.0,<
0.114,0.193,0.384,196.0,201.0,<
0.278,0.271,0.306,196.0,202.0,+
0.2485,0.267,0.322,197.0,203.0,<
0.176,0.02,0.166,199.0,204.0,<
0.171,0.194,0.445,200.0,205.0,<
0.093,0.191,0.386,201.0,206.0,<
0.294,0.282,0.305,204.0,207.0,<
0.173,0.19,0.462,205.0,208.0,<
0.079,0.189,0.388,205.0,209.0,+
0.095,0.189,0.395,206.0,210.0,+
0.276,0.302,0.322,206.0,211.0,+
0.311,0.255,0.308,206.0,212.0,+
0.307,0.291,0.295,207.0,213.0,<
0.169,0.193,0.483,207.0,214.0,+
0.192,0.166,0.466,208.0,215.0,<
0.057,0.188,0.382,208.0,216.0,+
0.097,0.163,0.397,208.0,217.0,+
0.083,0.213,0.401,210.0,218.0,<
0.267,0.312,0.323,210.0,219.0,+
0.271,0.299,0.33,210.0,220.0,+
0.291,0.3,0.332,211.0,221.0,<
0.324,0.242,0.305,213.0,222.0,<
0.167,0.193,0.5035000000000001,214.0,223.0,<
0.203,0.15,0.469,215.0,224.0,<
0.039,0.185,0.376,222.0,225.0,<
0.165,0.194,0.522,223.0,226.0,<
0.215,0.134,0.472,224.0,227.0,<
0.022,0.189,0.375,224.0,228.0,+
0.044,0.162,0.379,224.0,229.0,+
0.0455,0.1925,0.3685,225.0,230.0,<
0.165,0.195,0.539,226.0,231.0,<
0.227,0.122,0.478,227.0,232.0,+
0.02,0.215,0.388,227.0,233.0,+
0.007,0.185,0.362,228.0,234.0,<
0.049,0.143,0.377,230.0,235.0,<
0.16,0.192,0.561,230.0,236.0,+
0.168,0.229,0.54,230.0,237.0,+
0.1505,0.1915,0.548,231.0,238.0,<
0.238,0.105,0.471,231.0,239.0,+
0.238,0.14,0.493,231.0,240.0,+
0.203,0.114,0.496,232.0,241.0,<
0.018,0.228,0.391,235.0,242.0,<
0.157,0.191,0.581,236.0,243.0,<
0.17,0.248,0.545,238.0,244.0,<
0.25,0.089,0.468,239.0,245.0,<
0.245,0.151,0.499,240.0,246.0,<
0.191,0.109,0.501,242.0,247.0,<
0.149,0.187,0.6,243.0,248.0,<
0.173,0.266,0.549,244.0,249.0,<
0.26,0.075,0.469,244.0,250.0,+
0.257,0.084,0.471,247.0,251.0,<
0.142,0.183,0.614,248.0,252.0,<
0.175,0.288,0.553,249.0,253.0,<
0.275,0.061,0.458,249.0,254.0,+
0.279,0.094,0.477,249.0,255.0,+
0.232,0.06,0.479,249.0,256.0,+
0.275,0.093,0.47,249.0,257.0,+
0.2335,0.064,0.471,251.0,258.0,+
0.111,0.164,0.603,251.0,259.0,+
