x,y,z,parentid,vid,edgetype
0.191,0.19,0.111,0.0,1.0,<
0.189,0.187,0.121,1.0,2.0,<
0.187,0.181,0.13,1.0,3.0,+
0.186,0.176,0.107,2.0,4.0,+
0.19,0.186,0.141,4.0,5.0,<
0.191,0.193,0.145,5.0,6.0,+
0.188,0.185,0.155,5.0,7.0,+
0.199,0.183,0.146,6.0,20.0,<
0.212,0.188,0.142,7.0,8.0,+
0.2255,0.19,0.139,8.0,9.0,<
0.236,0.192,0.137,9.0,10.0,<
0.246,0.195,0.135,10.0,11.0,<
0.257,0.197,0.132,11.0,12.0,<
0.266,0.201,0.131,12.0,13.0,<
0.278,0.201,0.128,13.0,14.0,<
0.284,0.208,0.124,14.0,15.0,<
0.285,0.187,0.127,14.0,16.0,+
0.289,0.182,0.1245,15.0,18.0,+
0.285,0.22,0.1285,15.0,19.0,<
0.29,0.208,0.117,16.0,17.0,<
0.186,0.177,0.163,20.0,21.0,+
0.187,0.18,0.175,20.0,22.0,<
0.182,0.168,0.165,21.0,23.0,<
0.184,0.178,0.185,23.0,24.0,<
0.188,0.182,0.1985,23.0,25.0,+
0.17,0.165,0.185,24.0,47.0,<
0.162,0.158,0.186,25.0,26.0,<
0.153,0.151,0.187,26.0,27.0,<
0.1445,0.1435,0.186,27.0,28.0,<
0.137,0.136,0.185,28.0,29.0,<
0.127,0.129,0.182,29.0,30.0,<
0.12,0.122,0.181,30.0,31.0,<
0.106,0.125,0.183,31.0,32.0,+
0.112,0.1155,0.176,31.0,33.0,<
0.125,0.107,0.179,31.0,34.0,+
0.1265,0.101,0.175,32.0,44.0,<
0.105,0.109,0.171,33.0,36.0,<
0.098,0.103,0.165,34.0,35.0,<
0.092,0.098,0.157,36.0,37.0,<
0.086,0.093,0.148,37.0,38.0,<
0.081,0.088,0.139,38.0,39.0,<
0.074,0.084,0.134,39.0,40.0,<
0.067,0.078,0.128,40.0,41.0,<
0.06,0.073,0.122,41.0,42.0,<
0.097,0.127,0.182,42.0,43.0,<
0.087,0.132,0.176,44.0,45.0,<
0.08,0.136,0.171,45.0,46.0,<
0.196,0.188,0.2045,47.0,48.0,+
0.188,0.184,0.21,48.0,49.0,<
0.187,0.18,0.219,48.0,50.0,+
0.187,0.203,0.216,49.0,92.0,<
0.188,0.213,0.222,50.0,51.0,<
0.188,0.223,0.228,51.0,52.0,<
0.189,0.234,0.232,52.0,53.0,<
0.189,0.242,0.236,53.0,54.0,<
0.19,0.256,0.234,54.0,55.0,<
0.205,0.239,0.244,54.0,56.0,+
0.173,0.238,0.245,54.0,57.0,+
0.165,0.236,0.247,55.0,64.0,<
0.1525,0.231,0.245,56.0,61.0,<
0.147,0.229,0.243,57.0,58.0,<
0.215,0.238,0.247,58.0,59.0,<
0.229,0.236,0.246,59.0,60.0,<
0.234,0.234,0.245,61.0,62.0,<
0.191,0.268,0.233,62.0,63.0,<
0.191,0.275,0.231,64.0,65.0,<
0.193,0.288,0.226,65.0,66.0,<
0.1755,0.28,0.24,65.0,67.0,+
0.212,0.276,0.234,65.0,68.0,+
0.2235,0.277,0.233,66.0,78.0,<
0.232,0.277,0.231,67.0,73.0,<
0.242,0.276,0.225,68.0,69.0,<
0.249,0.277,0.219,69.0,70.0,<
0.165,0.283,0.244,70.0,71.0,<
0.156,0.286,0.244,71.0,72.0,<
0.145,0.287,0.243,73.0,74.0,<
0.134,0.287,0.241,74.0,75.0,<
0.125,0.287,0.238,75.0,76.0,<
0.194,0.297,0.22,76.0,77.0,<
0.194,0.307,0.214,78.0,79.0,<
0.194,0.315,0.208,79.0,80.0,<
0.1805,0.314,0.217,79.0,81.0,+
