x,y,z,parentid,vid,edgetype
0.193,0.179,0.117,0.0,1.0,<
0.2,0.18,0.132,1.0,2.0,<
0.198,0.18,0.151,2.0,3.0,<
0.205,0.177,0.164,3.0,4.0,<
0.201,0.182,0.186,3.0,5.0,+
0.226,0.156,0.164,4.0,20.0,<
0.239,0.144,0.166,5.0,6.0,<
0.251,0.132,0.168,6.0,7.0,<
0.264,0.12,0.169,7.0,8.0,<
0.277,0.108,0.171,8.0,9.0,<
0.287,0.096,0.17,9.0,10.0,<
0.271,0.093,0.175,9.0,11.0,+
0.294,0.119,0.178,9.0,12.0,+
0.308,0.129,0.181,10.0,19.0,<
0.32,0.139,0.182,11.0,16.0,<
0.33,0.146,0.181,12.0,13.0,<
0.261,0.081,0.178,13.0,14.0,<
0.252,0.064,0.176,14.0,15.0,<
0.245,0.052,0.173,16.0,17.0,<
0.298,0.087,0.171,17.0,18.0,<
0.2,0.182,0.205,20.0,21.0,<
0.202,0.187,0.22,21.0,22.0,+
0.198,0.184,0.239,21.0,23.0,<
0.205,0.195,0.227,22.0,43.0,<
0.208,0.21,0.224,23.0,24.0,<
0.214,0.225,0.23,24.0,25.0,<
0.22,0.241,0.234,25.0,26.0,<
0.225,0.258,0.238,26.0,27.0,<
0.232,0.27,0.24,27.0,28.0,<
0.21,0.259,0.25,27.0,29.0,+
0.237,0.289,0.24,28.0,30.0,<
0.253,0.252,0.252,28.0,31.0,+
0.243,0.306,0.241,30.0,32.0,<
0.251,0.318,0.24,32.0,33.0,<
0.227,0.312,0.257,32.0,34.0,+
0.221,0.31,0.262,33.0,38.0,+
0.218,0.315,0.266,33.0,39.0,+
0.204,0.322,0.269,34.0,35.0,<
0.246,0.326,0.243,35.0,36.0,+
0.277,0.304,0.249,36.0,37.0,<
0.292,0.298,0.25,38.0,42.0,+
0.306,0.292,0.247,39.0,40.0,<
0.254,0.3335,0.237,40.0,41.0,<
0.197,0.183,0.257,43.0,44.0,<
0.195,0.182,0.275,44.0,45.0,<
0.192,0.18,0.287,44.0,46.0,+
0.1625,0.159,0.286,45.0,69.0,<
0.149,0.148,0.29,46.0,47.0,<
0.136,0.138,0.293,47.0,48.0,<
0.123,0.128,0.297,48.0,49.0,<
0.142,0.113,0.308,49.0,50.0,+
0.107,0.117,0.292,49.0,51.0,<
0.115,0.144,0.309,49.0,52.0,+
0.113,0.152,0.314,50.0,68.0,<
0.094,0.109,0.287,51.0,54.0,<
0.098,0.089,0.291,52.0,53.0,<
0.082,0.099,0.279,54.0,55.0,+
0.079,0.12,0.29,54.0,56.0,<
0.068,0.132,0.291,54.0,57.0,+
0.059,0.145,0.289,55.0,65.0,<
0.052,0.154,0.286,56.0,61.0,<
0.07,0.09,0.269,57.0,58.0,<
0.06,0.082,0.261,58.0,59.0,<
0.052,0.074,0.249,59.0,60.0,<
0.061,0.07,0.263,61.0,62.0,<
0.104,0.076,0.293,62.0,63.0,<
0.111,0.06,0.296,62.0,64.0,+
0.116,0.048,0.296,65.0,66.0,<
0.15,0.106,0.311,66.0,67.0,<
0.195,0.183,0.309,69.0,70.0,<
0.196,0.182,0.327,70.0,71.0,<
0.196,0.181,0.345,71.0,72.0,<
0.201,0.18,0.359,72.0,73.0,<
0.197,0.181,0.379,72.0,74.0,+
0.227,0.172,0.364,73.0,90.0,<
0.242,0.167,0.37,74.0,75.0,<
0.258,0.161,0.376,75.0,76.0,<
0.274,0.156,0.382,76.0,77.0,<
0.279,0.165,0.394,77.0,78.0,+
0.285,0.15,0.387,77.0,79.0,<
0.304,0.146,0.387,78.0,89.0,<
0.266,0.132,0.403,79.0,80.0,<
0.259,0.121,0.405,79.0,81.0,+
0.32,0.139,0.388,80.0,83.0,<
0.333,0.134,0.393,81.0,82.0,<
0.329,0.114,0.399,83.0,84.0,<
0.339,0.153,0.406,84.0,85.0,+
0.344,0.167,0.414,84.0,86.0,+
0.35,0.183,0.415,86.0,87.0,<
0.282,0.1785,0.4015,87.0,88.0,<
0.196,0.181,0.396,90.0,91.0,<
0.193,0.18,0.414,91.0,92.0,<
0.192,0.182,0.431,92.0,93.0,<
0.185,0.185,0.446,93.0,94.0,<
0.189,0.181,0.464,93.0,95.0,+
0.172,0.201,0.453,94.0,114.0,<
0.161,0.212,0.462,95.0,96.0,<
0.15,0.222,0.47,96.0,97.0,<
0.139,0.232,0.479,97.0,98.0,<
0.129,0.242,0.49,98.0,99.0,<
0.142,0.249,0.502,99.0,100.0,+
0.117,0.253,0.495,99.0,101.0,<
0.123,0.225,0.5,99.0,102.0,+
0.106,0.263,0.503,100.0,113.0,<
0.092,0.273,0.51,101.0,103.0,<
0.085,0.285,0.512,103.0,104.0,<
0.081,0.264,0.516,104.0,105.0,<
0.07,0.252,0.517,104.0,106.0,+
0.067,0.297,0.51,105.0,108.0,<
0.106,0.2945,0.524,105.0,109.0,+
0.06,0.296,0.512,106.0,107.0,<
0.057,0.306,0.507,108.0,110.0,<
0.045,0.317,0.5,110.0,111.0,+
0.151,0.253,0.504,111.0,112.0,<
0.186,0.181,0.482,114.0,115.0,<
0.185,0.18,0.499,115.0,116.0,<
0.182,0.176,0.513,116.0,117.0,<
0.183,0.179,0.534,116.0,118.0,+
0.169,0.152,0.518,117.0,139.0,<
0.162,0.139,0.527,118.0,119.0,<
0.154,0.126,0.535,119.0,120.0,<
0.148,0.112,0.546,120.0,121.0,<
0.139,0.099,0.55,121.0,122.0,<
0.1545,0.107,0.5485,121.0,123.0,+
0.136,0.122,0.554,121.0,124.0,+
0.162,0.11,0.555,122.0,127.0,<
0.168,0.11,0.546,123.0,125.0,<
0.131,0.08549999999999999,0.556,125.0,126.0,+
0.122,0.07,0.561,127.0,128.0,<
0.114,0.055,0.557,128.0,129.0,<
0.105,0.082,0.569,128.0,130.0,+
0.139,0.061,0.567,128.0,131.0,+
0.151,0.057,0.565,129.0,134.0,<
0.096,0.088,0.568,130.0,133.0,<
0.108,0.042,0.55,131.0,132.0,<
0.102,0.028,0.538,134.0,135.0,<
0.097,0.019,0.529,135.0,136.0,<
0.094,0.016,0.518,136.0,137.0,<
0.104,0.014,0.5235000000000001,137.0,138.0,+
0.182,0.18,0.552,139.0,140.0,<
0.182,0.182,0.569,140.0,141.0,<
0.184,0.185,0.584,140.0,142.0,+
0.169,0.178,0.562,141.0,147.0,+
0.161,0.174,0.56,141.0,148.0,<
0.169,0.17,0.556,142.0,143.0,<
0.164,0.18,0.55,142.0,144.0,+
0.159,0.1745,0.57,143.0,146.0,+
0.199,0.204,0.593,144.0,145.0,+
0.181,0.184,0.602,147.0,150.0,<
0.181,0.187,0.614,148.0,149.0,<
0.208,0.216,0.601,150.0,151.0,<
0.219,0.229,0.604,150.0,152.0,+
0.198,0.222,0.606,151.0,153.0,<
0.23,0.242,0.603,153.0,154.0,<
0.24,0.253,0.595,154.0,155.0,<
0.239,0.262,0.595,155.0,156.0,+
0.246,0.261,0.586,156.0,157.0,<
0.25,0.268,0.575,,,
