x,y,z,parentid,vid,edgetype
0.175,0.188,0.11,0.0,1.0,<
0.177,0.195,0.118,1.0,2.0,<
0.174,0.196,0.134,2.0,3.0,<
0.176,0.194,0.151,2.0,4.0,+
0.17,0.213,0.142,3.0,29.0,<
0.168,0.219,0.156,4.0,5.0,<
0.166,0.223,0.17,5.0,6.0,<
0.164,0.226,0.184,6.0,7.0,<
0.163,0.227,0.197,7.0,8.0,<
0.163,0.227,0.213,8.0,9.0,<
0.181,0.226,0.217,9.0,10.0,+
0.16,0.228,0.227,9.0,11.0,<
0.158,0.227,0.238,10.0,26.0,<
0.138,0.221,0.243,11.0,12.0,<
0.161,0.23,0.256,12.0,13.0,+
0.162,0.232,0.27,12.0,14.0,<
0.159,0.235,0.283,13.0,23.0,<
0.177,0.237,0.275,14.0,15.0,<
0.186,0.244,0.279,15.0,16.0,<
0.157,0.239,0.299,15.0,17.0,+
0.16,0.243,0.309,16.0,19.0,<
0.146,0.242,0.302,17.0,18.0,<
0.163,0.247,0.32,19.0,20.0,<
0.124,0.219,0.247,19.0,21.0,+
0.119,0.221,0.252,20.0,22.0,<
0.115,0.217,0.248,23.0,24.0,<
0.196,0.227,0.22,24.0,25.0,+
0.21,0.227,0.22,26.0,27.0,<
0.219,0.227,0.22,27.0,28.0,<
0.174,0.192,0.167,29.0,30.0,<
0.173,0.19,0.182,30.0,31.0,<
0.172,0.183,0.195,31.0,32.0,+
0.1755,0.191,0.21,31.0,33.0,<
0.163,0.166,0.203,32.0,61.0,<
0.156,0.156,0.211,33.0,34.0,<
0.151,0.144,0.219,34.0,35.0,<
0.145,0.133,0.226,35.0,36.0,<
0.14,0.123,0.234,36.0,37.0,<
0.134,0.111,0.24,37.0,38.0,<
0.13,0.126,0.2465,37.0,39.0,+
0.155,0.123,0.245,37.0,40.0,+
0.121,0.131,0.256,38.0,44.0,<
0.11,0.139,0.266,39.0,41.0,<
0.106,0.142,0.269,41.0,42.0,<
0.129,0.098,0.246,42.0,43.0,<
0.125,0.088,0.254,44.0,45.0,<
0.14,0.085,0.264,45.0,46.0,+
0.116,0.079,0.259,45.0,47.0,<
0.113,0.061,0.262,46.0,58.0,<
0.096,0.091,0.266,47.0,48.0,<
0.085,0.096,0.268,47.0,49.0,+
0.092,0.087,0.272,48.0,54.0,<
0.072,0.102,0.271,48.0,55.0,+
0.064,0.108,0.272,49.0,50.0,<
0.106,0.049,0.263,49.0,51.0,+
0.12,0.06,0.271,50.0,52.0,<
0.1,0.035,0.264,52.0,53.0,<
0.099,0.026,0.268,54.0,56.0,<
0.151,0.08,0.272,56.0,57.0,<
0.164,0.076,0.275,58.0,59.0,<
0.171,0.072,0.276,59.0,60.0,<
0.176,0.191,0.224,61.0,62.0,<
0.177,0.191,0.239,62.0,63.0,<
0.177,0.192,0.254,63.0,64.0,<
0.177,0.193,0.268,64.0,65.0,<
0.176,0.192,0.283,64.0,66.0,+
0.193,0.196,0.279,65.0,98.0,<
0.202,0.2,0.288,66.0,67.0,<
0.215,0.202,0.295,67.0,68.0,<
0.227,0.205,0.303,68.0,69.0,<
0.238,0.209,0.31,69.0,70.0,<
0.25,0.211,0.318,70.0,71.0,<
0.2605,0.219,0.321,71.0,72.0,<
0.253,0.199,0.331,71.0,73.0,+
0.255,0.188,0.339,72.0,77.0,<
0.257,0.1745,0.343,72.0,78.0,+
0.258,0.1635,0.344,73.0,74.0,<
0.279,0.221,0.32,74.0,75.0,<
0.244,0.232,0.341,75.0,76.0,<
0.239,0.24,0.349,77.0,80.0,<
0.293,0.224,0.322,78.0,79.0,<
0.298,0.213,0.332,80.0,81.0,+
0.3,0.233,0.327,80.0,82.0,<
0.29,0.248,0.339,81.0,92.0,<
0.318,0.236,0.326,82.0,83.0,+
0.327,0.243,0.328,82.0,84.0,<
0.33,0.22,0.343,83.0,90.0,<
0.343,0.2495,0.324,84.0,85.0,<
0.313,0.256,0.3335,85.0,86.0,+
0.354,0.254,0.323,85.0,87.0,<
0.287,0.259,0.346,85.0,88.0,+
0.281,0.272,0.351,87.0,89.0,<
0.301,0.2,0.34,90.0,91.0,<
0.306,0.187,0.342,92.0,93.0,<
0.296,0.198,0.348,92.0,94.0,+
0.31,0.173,0.344,93.0,95.0,<
0.3145,0.16,0.344,95.0,96.0,<
0.317,0.152,0.3455,96.0,97.0,<
0.177,0.192,0.297,98.0,99.0,<
0.177,0.192,0.311,99.0,100.0,<
0.177,0.192,0.326,100.0,101.0,<
0.178,0.191,0.341,101.0,102.0,<
0.178,0.191,0.354,102.0,103.0,<
0.173,0.195,0.366,103.0,104.0,<
0.175,0.194,0.384,103.0,105.0,+
0.166,0.197,0.3565,104.0,145.0,<
0.156,0.2,0.37,105.0,106.0,+
0.1435,0.203,0.379,106.0,107.0,<
0.132,0.205,0.388,107.0,108.0,<
0.122,0.209,0.396,108.0,109.0,<
0.1175,0.205,0.403,109.0,110.0,<
0.127,0.216,0.4,109.0,111.0,+
0.132,0.2135,0.408,110.0,114.0,+
0.131,0.206,0.407,111.0,112.0,+
0.109,0.214,0.401,112.0,113.0,+
0.096,0.214,0.408,114.0,115.0,<
0.093,0.199,0.419,115.0,116.0,+
0.088,0.212,0.412,115.0,117.0,<
0.106,0.233,0.43,115.0,118.0,+
0.106,0.233,0.438,116.0,140.0,<
0.118,0.243,0.436,116.0,141.0,+
0.121,0.242,0.442,117.0,122.0,+
0.086,0.223,0.41,117.0,123.0,+
0.088,0.208,0.408,118.0,119.0,<
0.069,0.228,0.412,119.0,120.0,+
0.055,0.233,0.414,120.0,121.0,+
0.07,0.231,0.4215,122.0,124.0,+
0.042,0.236,0.415,124.0,125.0,<
0.035,0.217,0.411,124.0,126.0,+
0.034,0.244,0.4175,125.0,127.0,<
0.016,0.248,0.415,127.0,128.0,+
0.05,0.252,0.44,127.0,129.0,<
0.051,0.249,0.444,128.0,136.0,<
0.056,0.261,0.446,128.0,137.0,+
0.014,0.253,0.423,129.0,130.0,<
0.006,0.254,0.412,129.0,131.0,+
0.029,0.205,0.407,130.0,134.0,+
0.036,0.214,0.417,131.0,132.0,+
0.024,0.196,0.401,131.0,133.0,<
0.018,0.186,0.395,134.0,135.0,+
0.091,0.188,0.422,136.0,138.0,<
0.088,0.204,0.419,138.0,139.0,<
0.089,0.17,0.422,140.0,142.0,<
0.086,0.167,0.424,142.0,143.0,<
0.088,0.163,0.42,143.0,144.0,+
0.176,0.194,0.398,145.0,146.0,<
0.176,0.193,0.413,146.0,147.0,<
0.177,0.192,0.428,147.0,148.0,<
0.178,0.189,0.443,148.0,149.0,<
0.181,0.187,0.455,149.0,150.0,<
0.18,0.19,0.472,149.0,151.0,+
0.184,0.181,0.456,150.0,173.0,<
0.187,0.166,0.462,151.0,152.0,<
0.191,0.155,0.471,152.0,153.0,<
0.195,0.145,0.479,153.0,154.0,<
0.2,0.131,0.484,154.0,155.0,<
0.205,0.122,0.487,155.0,156.0,<
0.2185,0.1355,0.499,155.0,157.0,+
0.21,0.104,0.4825,156.0,158.0,<
0.186,0.117,0.499,156.0,159.0,+
0.215,0.092,0.479,158.0,160.0,<
0.232,0.095,0.49,160.0,161.0,+
0.215,0.084,0.477,160.0,162.0,<
0.204,0.082,0.479,161.0,172.0,<
0.221,0.079,0.47,162.0,163.0,+
0.227,0.076,0.4705,162.0,164.0,<
0.225,0.068,0.462,163.0,171.0,<
0.23,0.059,0.453,164.0,165.0,+
0.235,0.051,0.447,164.0,166.0,<
0.25,0.054,0.447,166.0,167.0,<
0.238,0.043,0.435,167.0,168.0,<
0.192,0.077,0.478,168.0,169.0,+
0.241,0.098,0.492,168.0,170.0,<
0.18,0.19,0.486,173.0,174.0,<
0.181,0.194,0.498,174.0,175.0,+
0.188,0.208,0.509,174.0,176.0,<
0.179,0.194,0.506,175.0,177.0,<
0.192,0.218,0.517,177.0,178.0,<
0.197,0.229,0.526,178.0,179.0,+
0.204,0.225,0.537,178.0,180.0,+
