x,y,z,parentid,vid,edgetype
0.156,0.18,0.1,0.0,1.0,<
0.16,0.183,0.113,1.0,2.0,<
0.159,0.178,0.143,2.0,3.0,<
0.157,0.184,0.172,2.0,4.0,+
0.172,0.15,0.159,3.0,5.0,<
0.157,0.184,0.201,4.0,6.0,<
0.183,0.128,0.176,5.0,7.0,<
0.157,0.187,0.23,6.0,8.0,<
0.193,0.114,0.195,7.0,9.0,<
0.15,0.173,0.261,7.0,10.0,+
0.174,0.212,0.246,8.0,11.0,<
0.21,0.094,0.209,8.0,12.0,+
0.163,0.115,0.213,9.0,13.0,<
0.14,0.167,0.285,10.0,14.0,<
0.188,0.234,0.27,11.0,15.0,<
0.218,0.069,0.228,11.0,16.0,+
0.188,0.07,0.224,11.0,17.0,+
0.239,0.118,0.212,13.0,18.0,<
0.147,0.172,0.315,13.0,19.0,+
0.112,0.144,0.3,14.0,20.0,<
0.203,0.257,0.281,14.0,21.0,+
0.173,0.236,0.29,14.0,22.0,+
0.212,0.222,0.286,14.0,23.0,+
0.185,0.2455,0.277,15.0,24.0,<
0.232,0.057,0.246,16.0,25.0,<
0.171,0.061,0.231,18.0,26.0,<
0.15,0.171,0.348,19.0,27.0,<
0.09,0.127,0.318,20.0,28.0,<
0.218,0.273,0.296,21.0,29.0,<
0.155,0.2375,0.302,21.0,30.0,+
0.164,0.2395,0.303,22.0,31.0,<
0.22,0.213,0.294,24.0,32.0,<
0.234,0.0315,0.262,24.0,33.0,+
0.255,0.059,0.25,26.0,34.0,<
0.154,0.167,0.378,27.0,35.0,<
0.07,0.113,0.319,27.0,36.0,+
0.102,0.116,0.337,27.0,37.0,+
0.0795,0.149,0.3425,28.0,38.0,<
0.23,0.298,0.308,28.0,39.0,+
0.246,0.261,0.302,28.0,40.0,+
0.185,0.277,0.32,28.0,41.0,+
0.232,0.27,0.292,34.0,42.0,<
0.149,0.168,0.408,34.0,43.0,+
0.187,0.159,0.392,35.0,44.0,<
0.044,0.097,0.322,35.0,45.0,+
0.076,0.119,0.335,36.0,46.0,<
0.121,0.1,0.344,36.0,47.0,+
0.113,0.105,0.352,37.0,48.0,<
0.07,0.17,0.354,38.0,49.0,<
0.243,0.323,0.322,39.0,50.0,<
0.275,0.249,0.306,40.0,51.0,<
0.165,0.283,0.33,42.0,52.0,<
0.149,0.172,0.437,43.0,53.0,<
0.208,0.151,0.408,44.0,54.0,+
0.064,0.067,0.331,44.0,55.0,+
0.031,0.111,0.351,44.0,56.0,+
0.028,0.086,0.317,44.0,57.0,+
0.031,0.081,0.315,49.0,58.0,<
0.236,0.331,0.338,49.0,59.0,+
0.255,0.338,0.326,50.0,60.0,<
0.287,0.243,0.312,52.0,61.0,<
0.148,0.177,0.469,53.0,62.0,<
0.238,0.145,0.419,54.0,63.0,<
0.076,0.042,0.336,55.0,64.0,<
0.021,0.125,0.369,61.0,65.0,<
0.143,0.181,0.491,62.0,66.0,<
0.269,0.134,0.407,62.0,67.0,+
0.229,0.1195,0.441,62.0,68.0,+
0.239,0.169,0.441,62.0,69.0,+
0.253,0.146,0.423,63.0,70.0,<
0.083,0.023,0.34,65.0,71.0,<
0.147,0.174,0.527,65.0,72.0,+
0.117,0.216,0.509,66.0,73.0,<
0.286,0.129,0.401,67.0,74.0,<
0.221,0.101,0.449,68.0,75.0,<
0.24,0.186,0.458,71.0,76.0,<
0.145,0.167,0.557,72.0,77.0,<
0.103,0.235,0.525,72.0,78.0,+
0.127,0.22,0.523,72.0,79.0,+
0.109,0.208,0.528,73.0,80.0,+
0.278,0.086,0.426,73.0,81.0,+
0.292,0.167,0.406,73.0,82.0,+
0.317,0.122,0.381,73.0,83.0,+
0.283,0.117,0.432,73.0,84.0,+
0.287,0.157,0.4,73.0,85.0,+
0.275,0.106,0.423,76.0,86.0,<
0.148,0.17,0.589,76.0,87.0,+
0.135,0.14,0.573,77.0,88.0,<
0.09,0.25,0.537,80.0,89.0,<
0.276,0.067,0.436,81.0,90.0,<
0.2945,0.1835,0.4115,82.0,91.0,<
0.33,0.1185,0.371,86.0,92.0,<
0.145,0.17,0.614,86.0,93.0,+
0.165,0.178,0.611,87.0,94.0,<
0.129,0.119,0.592,88.0,95.0,<
0.069,0.28,0.542,88.0,96.0,+
0.132,0.252,0.557,88.0,97.0,+
0.078,0.219,0.562,88.0,98.0,+
0.119,0.252,0.5575000000000001,88.0,99.0,+
0.099,0.249,0.549,92.0,100.0,<
0.145,0.168,0.645,93.0,101.0,<
0.185,0.184,0.635,94.0,102.0,<
0.122,0.092,0.605,94.0,103.0,+
0.121,0.115,0.602,95.0,104.0,<
0.055,0.295,0.55,100.0,105.0,<
0.162,0.163,0.671,100.0,106.0,+
0.14,0.166,0.677,101.0,107.0,<
0.209,0.192,0.65,101.0,108.0,+
0.189,0.1815,0.648,101.0,109.0,+
0.185,0.1865,0.6455,102.0,110.0,<
0.115,0.065,0.608,102.0,111.0,+
0.149,0.096,0.626,102.0,112.0,+
0.111,0.094,0.625,104.0,113.0,+
0.103,0.314,0.551,104.0,114.0,+
0.045,0.318,0.548,104.0,115.0,+
0.037,0.273,0.572,104.0,116.0,+
0.044,0.309,0.559,104.0,117.0,+
0.082,0.302,0.563,105.0,118.0,+
0.18,0.157,0.654,106.0,119.0,<
0.127,0.163,0.692,106.0,120.0,+
0.14,0.166,0.694,107.0,121.0,<
0.235,0.202,0.652,107.0,122.0,+
0.224,0.191,0.653,107.0,123.0,+
0.215,0.182,0.664,107.0,124.0,+
0.202,0.201,0.67,110.0,125.0,<
0.109,0.036,0.61,110.0,126.0,+
0.113,0.062,0.621,111.0,127.0,+
0.1445,0.1,0.64,113.0,128.0,<
0.119,0.322,0.549,118.0,129.0,<
0.178,0.15,0.643,118.0,130.0,+
0.191,0.171,0.653,118.0,131.0,+
0.187,0.161,0.667,118.0,132.0,+
0.182,0.153,0.649,118.0,133.0,+
0.19,0.158,0.649,118.0,134.0,+
0.189,0.161,0.647,118.0,135.0,+
0.172,0.1645,0.6515,118.0,136.0,+
0.194,0.159,0.663,121.0,137.0,<
0.262,0.211,0.652,125.0,138.0,+
0.092,0.038,0.622,125.0,139.0,+
0.116,0.027,0.604,125.0,140.0,+
0.129,0.033,0.623,137.0,141.0,<
0.293,0.218,0.64,137.0,142.0,+
0.252,0.233,0.663,137.0,143.0,+
0.276,0.207,0.659,137.0,144.0,+
0.272,0.1945,0.659,141.0,145.0,<
0.31,0.224,0.633,,,
