x,y,z,parentid,vid,edgetype
0.169,0.198,0.102,0.0,1.0,<
0.171,0.203,0.113,1.0,2.0,<
0.172,0.202,0.139,1.0,3.0,+
0.195,0.201,0.112,2.0,4.0,<
0.171,0.203,0.163,3.0,5.0,<
0.215,0.201,0.13,4.0,6.0,<
0.17,0.205,0.186,4.0,7.0,+
0.183,0.206,0.169,5.0,8.0,<
0.234,0.201,0.147,6.0,9.0,<
0.173,0.2,0.213,6.0,10.0,+
0.141,0.219,0.2045,8.0,11.0,<
0.252,0.202,0.165,9.0,12.0,<
0.174,0.204,0.24,10.0,13.0,<
0.128,0.226,0.224,11.0,14.0,+
0.26,0.178,0.1775,11.0,15.0,+
0.272,0.202,0.183,11.0,16.0,+
0.258,0.23,0.173,12.0,17.0,<
0.178,0.207,0.263,12.0,18.0,+
0.176,0.184,0.259,13.0,19.0,<
0.116,0.232,0.247,14.0,20.0,<
0.263,0.169,0.182,14.0,21.0,+
0.268,0.1735,0.1825,15.0,22.0,<
0.2815,0.203,0.191,17.0,23.0,<
0.177,0.207,0.288,18.0,24.0,<
0.179,0.156,0.272,19.0,25.0,<
0.107,0.235,0.269,23.0,26.0,<
0.178,0.211,0.313,24.0,27.0,<
0.181,0.132,0.286,25.0,28.0,<
0.096,0.243,0.292,25.0,29.0,+
0.09,0.213,0.274,25.0,30.0,+
0.144,0.241,0.281,26.0,31.0,<
0.185,0.215,0.332,27.0,32.0,<
0.184,0.117,0.29,27.0,33.0,+
0.164,0.129,0.303,28.0,34.0,<
0.085,0.251,0.313,28.0,35.0,+
0.1055,0.246,0.301,29.0,36.0,<
0.074,0.192,0.278,30.0,37.0,<
0.151,0.247,0.29,31.0,38.0,<
0.181,0.212,0.363,31.0,39.0,+
0.208,0.243,0.342,32.0,40.0,<
0.185,0.081,0.289,32.0,41.0,+
0.22,0.135,0.306,32.0,42.0,+
0.207,0.1285,0.308,33.0,43.0,<
0.141,0.1315,0.313,34.0,44.0,<
0.078,0.257,0.33,36.0,45.0,<
0.075,0.182,0.281,36.0,46.0,+
0.067,0.183,0.278,38.0,47.0,<
